cluster	gene
1	19
1	23
1	28
1	29
1	49
2	2
2	12
2	32
2	42
2	52
3	11
3	14
3	21
3	44
4	31
4	34
4	51
4	54
5	8
5	38
5	55
5	58
6	16
6	26
6	46
7	15
7	25
7	45
8	17
8	27
8	47
9	6
9	36
9	56
10	7
10	37
10	57
11	13
11	41
11	43
12	18
12	22
12	48
13	10
13	20
13	40
14	9
14	39
14	59
15	0
15	30
15	50
16	3
16	33
17	1
17	24
18	5
18	35
19	4
20	53
