cluster	gene
1	7
1	37
1	50
1	55
1	57
2	17
2	27
2	28
2	47
3	11
3	21
3	24
3	41
4	2
4	32
4	38
4	52
5	19
5	23
5	29
5	49
6	16
6	26
6	46
7	15
7	25
7	45
8	9
8	39
8	59
9	4
9	34
9	54
10	6
10	36
10	56
11	12
11	22
11	42
12	1
12	31
12	51
13	3
13	33
13	53
14	18
14	48
15	14
15	44
16	20
16	30
17	10
17	40
18	8
18	58
19	5
19	35
20	13
20	43
21	0
